# targets_1000_prioritized.txt
# Format: UniProt_ID | gene_name | disease | priority_score | r_pocket | source
# Total: 1000 targets with real pocket radii from targets_20k.json
#
P06702 | S100A9 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
O14763 | TNFRSF10B | Necrosis | 7500.0 | 6.50 | 20k_uniprot
P61812 | TGFB2 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P06733 | ENO1 | Weight Loss | 7500.0 | 5.80 | 20k_uniprot
P07858 | CTSB | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P04183 | TK1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.80 | 20k_uniprot
P45452 | MMP13 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q06830 | PRDX1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P28300 | LOX | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P46695 | IER3 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q07820 | MCL1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q8N726 | CDKN2A | Chemical and Drug Induced Liver Injury | 7500.0 | 6.80 | 20k_uniprot
Q13489 | BIRC3 | Necrosis | 7500.0 | 6.00 | 20k_uniprot
P21580 | TNFAIP3 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P02462 | COL4A1 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P24821 | TNC | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P08473 | MME | Weight Loss | 7500.0 | 5.50 | 20k_uniprot
P08047 | SP1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q00653 | NFKB2 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
Q9NP84 | TNFRSF12A | Weight Loss | 7500.0 | 6.50 | 20k_uniprot
Q92597 | NDRG1 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P16949 | STMN1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P02511 | CRYAB | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P14625 | HSP90B1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P30279 | CCND2 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
Q02297 | NRG1 | Weight Loss | 7500.0 | 6.50 | 20k_uniprot
P04083 | ANXA1 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P81172 | HAMP | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P14618 | PKM | Weight Loss | 7500.0 | 6.80 | 20k_uniprot
Q01094 | E2F1 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P38398 | BRCA1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
O00300 | TNFRSF11B | Weight Loss | 7500.0 | 6.50 | 20k_uniprot
P32119 | PRDX2 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
O14788 | TNFSF11 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.50 | 20k_uniprot
P17948 | FLT1 | Weight Loss | 7500.0 | 6.80 | 20k_uniprot
P04049 | RAF1 | Necrosis | 7500.0 | 6.80 | 20k_uniprot
Q99685 | MGLL | Prenatal Exposure Delayed Effects | 7500.0 | 6.00 | 20k_uniprot
P31948 | STIP1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P21860 | ERBB3 | Weight Loss | 7500.0 | 6.80 | 20k_uniprot
Q99732 | LITAF | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
Q05655 | PRKCD | Necrosis | 7500.0 | 6.80 | 20k_uniprot
P62745 | RHOB | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q99612 | KLF6 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q15796 | SMAD2 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P30281 | CCND3 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P41221 | WNT5A | Prenatal Exposure Delayed Effects | 7500.0 | 6.00 | 20k_uniprot
O96017 | CHEK2 | Weight Loss | 7500.0 | 6.80 | 20k_uniprot
P16422 | EPCAM | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
O14965 | AURKA | Chemical and Drug Induced Liver Injury | 7500.0 | 6.80 | 20k_uniprot
O43683 | BUB1 | Weight Loss | 7500.0 | 6.80 | 20k_uniprot
P16278 | GLB1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.50 | 20k_uniprot
Q99683 | MAP3K5 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.80 | 20k_uniprot
O60656 | UGT1A9 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P16152 | CBR1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P01023 | A2M | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
O60566 | BUB1B | Weight Loss | 7500.0 | 6.80 | 20k_uniprot
Q05516 | ZBTB16 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P23142 | FBLN1 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P21926 | CD9 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P15336 | ATF2 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
Q15746 | MYLK | Weight Loss | 7500.0 | 6.80 | 20k_uniprot
P06748 | NPM1 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P26651 | ZFP36 | Necrosis | 7500.0 | 6.00 | 20k_uniprot
Q8WUM9 | SLC20A1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.50 | 20k_uniprot
P00813 | ADA | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
Q15398 | DLGAP5 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q13158 | FADD | Chemical and Drug Induced Liver Injury | 7500.0 | 6.50 | 20k_uniprot
O43663 | PRC1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P07333 | CSF1R | Weight Loss | 7500.0 | 6.50 | 20k_uniprot
Q14511 | NEDD9 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q16875 | PFKFB3 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.80 | 20k_uniprot
O14777 | NDC80 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P25942 | CD40 | Inflammation | 7500.0 | 6.50 | 20k_uniprot
Q01201 | RELB | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
Q03169 | TNFAIP2 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q96KB5 | PBK | Weight Loss | 7500.0 | 6.80 | 20k_uniprot
P54849 | EMP1 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P10914 | IRF1 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P57059 | SIK1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.80 | 20k_uniprot
P36955 | SERPINF1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q9Y4K3 | TRAF6 | Weight Loss | 7500.0 | 6.50 | 20k_uniprot
P42773 | CDKN2C | Weight Loss | 7500.0 | 6.80 | 20k_uniprot
Q53EL6 | PDCD4 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P15941 | MUC1 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
Q16270 | IGFBP7 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P20749 | BCL3 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q53EU6 | GPAT3 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P15018 | LIF | Necrosis | 7500.0 | 6.00 | 20k_uniprot
O95997 | PTTG1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P42772 | CDKN2B | Weight Loss | 7500.0 | 6.80 | 20k_uniprot
P29966 | MARCKS | Chemical and Drug Induced Liver Injury | 7500.0 | 6.80 | 20k_uniprot
P51587 | BRCA2 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
O15440 | ABCC5 | Weight Loss | 7500.0 | 7.50 | 20k_uniprot
Q9UI32 | GLS2 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q9ULC5 | ACSL5 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.10 | 20k_uniprot
P28062 | PSMB8 | Weight Loss | 7500.0 | 5.50 | 20k_uniprot
Q9Y5J5 | PHLDA3 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P78545 | ELF3 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
Q13490 | BIRC2 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P11309 | PIM1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.80 | 20k_uniprot
Q13510 | ASAH1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P31040 | SDHA | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
Q9NWM0 | SMOX | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P42702 | LIFR | Weight Loss | 7500.0 | 6.50 | 20k_uniprot
Q93096 | PTP4A1 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.20 | 20k_uniprot
Q9Y5Q3 | MAFB | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
P25063 | CD24 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
O75509 | TNFRSF21 | Weight Loss | 7500.0 | 6.50 | 20k_uniprot
Q6UX71 | PLXDC2 | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
O15525 | MAFG | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q9ULW0 | TPX2 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.00 | 20k_uniprot
Q08380 | LGALS3BP | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
P15531 | NME1 | Weight Loss | 7500.0 | 6.80 | 20k_uniprot
P00995 | SPINK1 | Chemical and Drug Induced Liver Injury | 7500.0 | 5.50 | 20k_uniprot
Q9UGI8 | TES | Weight Loss | 7500.0 | 6.00 | 20k_uniprot
Q07011 | TNFRSF9 | Chemical and Drug Induced Liver Injury | 7500.0 | 6.50 | 20k_uniprot
Q93038 | TNFRSF25 | Weight Loss | 7500.0 | 6.50 | 20k_uniprot
P24298 | GPT | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P10415 | BCL2 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P00441 | SOD1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P28482 | MAPK1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.80 | 20k_uniprot
P27361 | MAPK3 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.80 | 20k_uniprot
P01137 | TGFB1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P04798 | CYP1A1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P04179 | SOD2 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P13500 | CCL2 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P05177 | CYP1A2 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P15692 | VEGFA | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P10145 | CXCL8 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P09874 | PARP1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
Q13501 | SQSTM1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P25963 | NFKBIA | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
O15438 | ABCC3 | Chemical and Drug Induced Liver Injury | 5400.0 | 7.50 | 20k_uniprot
O95342 | ABCB11 | Chemical and Drug Induced Liver Injury | 5400.0 | 7.50 | 20k_uniprot
Q07817 | BCL2L1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
Q16678 | CYP1B1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P09211 | GSTP1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
Q9UPY5 | SLC7A11 | Chemical and Drug Induced Liver Injury | 5400.0 | 7.50 | 20k_uniprot
P01033 | TIMP1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P16104 | H2AX | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P50416 | CPT1A | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
Q14145 | KEAP1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P05186 | ALPL | Chemical and Drug Induced Liver Injury | 5400.0 | 6.20 | 20k_uniprot
P03372 | ESR1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.50 | 20k_uniprot
P05067 | APP | Chemical and Drug Induced Liver Injury | 5400.0 | 5.50 | 20k_uniprot
Q9NZJ5 | EIF2AK3 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.80 | 20k_uniprot
P11413 | G6PD | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P10275 | AR | Prenatal Exposure Delayed Effects | 5400.0 | 6.50 | 20k_uniprot
Q16881 | TXNRD1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P05198 | EIF2S1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P16435 | POR | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P02794 | FTH1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P05305 | EDN1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P02778 | CXCL10 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P11712 | CYP2C9 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P05093 | CYP17A1 | Prenatal Exposure Delayed Effects | 5400.0 | 5.80 | 20k_uniprot
P16070 | CD44 | Weight Loss | 5400.0 | 6.50 | 20k_uniprot
P18850 | ATF6 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
Q9NPH5 | NOX4 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P13501 | CCL5 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P10809 | HSPD1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
Q12983 | BNIP3 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P08263 | GSTA1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P11168 | SLC2A2 | Chemical and Drug Induced Liver Injury | 5400.0 | 7.50 | 20k_uniprot
P11511 | CYP19A1 | Weight Loss | 5400.0 | 6.00 | 20k_uniprot
P0DMV8 | HSPA1A | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P10909 | CLU | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P04406 | GAPDH | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
Q9UNU6 | CYP8B1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P11142 | HSPA8 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P08833 | IGFBP1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
O15217 | GSTA4 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P07900 | HSP90AA1 | Weight Loss | 5400.0 | 6.00 | 20k_uniprot
P30613 | PKLR | Chemical and Drug Induced Liver Injury | 5400.0 | 6.80 | 20k_uniprot
P32929 | CTH | Chemical and Drug Induced Liver Injury | 5400.0 | 5.80 | 20k_uniprot
P05787 | KRT8 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P17936 | IGFBP3 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P14060 | HSD3B1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.40 | 20k_uniprot
P84022 | SMAD3 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P37840 | SNCA | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
O14920 | IKBKB | Weight Loss | 5400.0 | 6.80 | 20k_uniprot
Q16611 | BAK1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P05783 | KRT18 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P23219 | PTGS1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P50225 | SULT1A1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
O15245 | SLC22A1 | Chemical and Drug Induced Liver Injury | 5400.0 | 7.50 | 20k_uniprot
P02795 | MT2A | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
Q16620 | NTRK2 | Weight Loss | 5400.0 | 6.80 | 20k_uniprot
P19440 | GGT1 | Chemical and Drug Induced Liver Injury | 5400.0 | 5.50 | 20k_uniprot
Q9BYF1 | ACE2 | Chemical and Drug Induced Liver Injury | 5400.0 | 5.50 | 20k_uniprot
P00450 | CP | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
Q15800 | MSMO1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
O43175 | PHGDH | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P0DMV9 | HSPA1B | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P27695 | APEX1 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P02686 | MBP | Weight Loss | 5400.0 | 6.00 | 20k_uniprot
Q03405 | PLAUR | Chemical and Drug Induced Liver Injury | 5400.0 | 6.80 | 20k_uniprot
P11215 | ITGAM | Inflammation | 5400.0 | 6.50 | 20k_uniprot
O15111 | CHUK | Weight Loss | 5400.0 | 6.80 | 20k_uniprot
P02787 | TF | Weight Loss | 5400.0 | 6.00 | 20k_uniprot
Q13315 | ATM | Weight Loss | 5400.0 | 6.80 | 20k_uniprot
O95864 | FADS2 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P11310 | ACADM | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
O76082 | SLC22A5 | Chemical and Drug Induced Liver Injury | 5400.0 | 7.50 | 20k_uniprot
P60709 | ACTB | Weight Loss | 5400.0 | 6.00 | 20k_uniprot
O15244 | SLC22A2 | Chemical and Drug Induced Liver Injury | 5400.0 | 7.50 | 20k_uniprot
O14757 | CHEK1 | Weight Loss | 5400.0 | 6.80 | 20k_uniprot
O95863 | SNAI1 | Weight Loss | 5400.0 | 6.00 | 20k_uniprot
P00918 | CA2 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
Q06609 | RAD51 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
Q13011 | ECH1 | Chemical and Drug Induced Liver Injury | 5400.0 | 5.90 | 20k_uniprot
P10636 | MAPT | Chemical and Drug Induced Liver Injury | 5400.0 | 6.00 | 20k_uniprot
P16615 | ATP2A2 | Weight Loss | 5400.0 | 7.50 | 20k_uniprot
P00966 | ASS1 | Weight Loss | 5400.0 | 6.10 | 20k_uniprot
Q9Y694 | SLC22A7 | Chemical and Drug Induced Liver Injury | 5400.0 | 7.50 | 20k_uniprot
P42081 | CD86 | Chemical and Drug Induced Liver Injury | 5400.0 | 6.50 | 20k_uniprot
O94956 | SLCO2B1 | Chemical and Drug Induced Liver Injury | 5400.0 | 7.50 | 20k_uniprot
P01584 | IL1B | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P02768 | ALB | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P11021 | HSPA5 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P08183 | ABCB1 | Chemical and Drug Induced Liver Injury | 4500.0 | 7.50 | 20k_uniprot
Q96D42 | HAVCR1 | Kidney Diseases | 4500.0 | 6.50 | 20k_uniprot
Q9UNQ0 | ABCG2 | Chemical and Drug Induced Liver Injury | 4500.0 | 7.50 | 20k_uniprot
P80188 | LCN2 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P04792 | HSPB1 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
Q9BYN0 | SRXN1 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P02741 | CRP | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P08571 | CD14 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q9ULZ3 | PYCARD | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
Q6UXS9 | CASP12 | Necrosis | 4500.0 | 6.00 | 20k_uniprot
O60603 | TLR2 | Weight Loss | 4500.0 | 6.50 | 20k_uniprot
P03973 | SLPI | Chemical and Drug Induced Liver Injury | 4500.0 | 5.50 | 20k_uniprot
P07585 | DCN | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P18428 | LBP | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P13611 | VCAN | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P61769 | B2M | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P51884 | LUM | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q14393 | GAS6 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.80 | 20k_uniprot
P25705 | ATP5F1A | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q9NPF7 | IL23A | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P30530 | AXL | Weight Loss | 4500.0 | 6.80 | 20k_uniprot
P49281 | SLC11A2 | Chemical and Drug Induced Liver Injury | 4500.0 | 7.50 | 20k_uniprot
P08865 | RPSA | Weight Loss | 4500.0 | 6.50 | 20k_uniprot
Q14764 | MVP | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
O95255 | ABCC6 | Chemical and Drug Induced Liver Injury | 4500.0 | 7.50 | 20k_uniprot
Q9Y6Y9 | LY96 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q15771 | RAB30 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
O15551 | CLDN3 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.50 | 20k_uniprot
Q15399 | TLR1 | Weight Loss | 4500.0 | 6.50 | 20k_uniprot
P21810 | BGN | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P20962 | PTMS | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q9ULP0 | NDRG4 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P06454 | PTMA | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
Q8WWT9 | SLC13A3 | Chemical and Drug Induced Liver Injury | 4500.0 | 7.50 | 20k_uniprot
